,Close
2022-02-17,1325.26
2022-02-18,1311.36
2022-02-21,1281.21
2022-02-22,1260.8
2022-02-23,1278.74
2022-02-24,1217.29
2022-02-25,1279.03
2022-02-28,1303.35
2022-03-02,1311.66
2022-03-03,1314.9
2022-03-04,1299.93
2022-03-07,1277.25
2022-03-08,1298.67
2022-03-09,1330.44
2022-03-10,1340.97
2022-03-11,1347.3
2022-03-14,1346.64
2022-03-15,1339.44
2022-03-16,1374.67
2022-03-17,1406.16
2022-03-21,1404.64
2022-03-22,1398.22
2022-03-23,1387.83
2022-03-24,1385.23
2022-03-25,1370.28
2022-03-28,1378.14
2022-03-29,1396.76
2022-03-30,1401.06
2022-03-31,1434.58
2022-04-01,1461.62
2022-04-04,1490.25
2022-04-05,1496.06
2022-04-06,1497.05
2022-04-07,1538.15
2022-04-08,1592.93
2022-04-11,1627.58
2022-04-12,1629.65
2022-04-13,1623.0
2022-04-18,1692.41
2022-04-19,1648.77
2022-04-20,1635.68
2022-04-21,1652.32
2022-04-22,1664.85
2022-04-25,1614.36
2022-04-26,1626.36
2022-04-27,1600.22
2022-04-28,1592.92
2022-04-29,1564.59
2022-05-02,1573.94
2022-05-04,1546.96
2022-05-05,1561.04
2022-05-06,1532.7
2022-05-09,1501.62
2022-05-10,1475.57
2022-05-11,1457.73
2022-05-12,1439.83
2022-05-13,1448.42
2022-05-16,1486.1
2022-05-17,1541.58
2022-05-18,1544.16
2022-05-19,1528.5
2022-05-20,1565.65
2022-05-23,1573.22
2022-05-24,1553.41
2022-05-25,1498.89
2022-05-26,1505.77
2022-05-27,1522.49
2022-05-30,1548.3
2022-05-31,1553.68
2022-06-01,1592.09
2022-06-02,1599.61
2022-06-03,1602.49
2022-06-06,1591.6
2022-06-07,1604.01
2022-06-08,1589.56
2022-06-09,1594.15
2022-06-10,1606.29
2022-06-13,1554.19
2022-06-14,1557.85
2022-06-15,1560.59
2022-06-16,1519.23
2022-06-17,1542.8
2022-06-20,1460.31
2022-06-21,1508.34
2022-06-22,1481.94
2022-06-23,1490.05
2022-06-24,1508.05
2022-06-27,1522.75
2022-06-28,1519.55
2022-06-29,1500.45
2022-06-30,1489.57
2022-07-01,1468.92
2022-07-04,1480.08
2022-07-05,1471.33
2022-07-06,1485.64
2022-07-07,1498.96
2022-07-08,1502.81
2022-07-11,1505.47
2022-07-12,1498.84
2022-07-13,1491.52
2022-07-14,1489.95
2022-07-15,1502.65
2022-07-18,1534.14
2022-07-19,1547.84
2022-07-20,1565.58
2022-07-21,1593.45
2022-07-22,1604.63
2022-07-25,1614.39
2022-07-26,1610.02
2022-07-27,1635.0
2022-07-28,1662.97
2022-07-29,1675.16
2022-08-01,1691.03
2022-08-02,1702.12
2022-08-03,1703.9
2022-08-04,1725.67
2022-08-05,1730.91
2022-08-08,1782.16
2022-08-10,1797.88
2022-08-11,1827.28
2022-08-12,1821.0
2022-08-16,1859.77
2022-08-17,1860.85
2022-08-18,1869.28
2022-08-19,1860.58
2022-08-22,1844.05
2022-08-23,1868.66
2022-08-24,1873.26
2022-08-25,1880.08
2022-08-26,1924.24
2022-08-29,1944.28
2022-08-30,1948.22
2022-09-01,1970.35
2022-09-02,1992.36
2022-09-05,2010.19
2022-09-06,1993.06
2022-09-07,2019.11
2022-09-08,2026.28
2022-09-09,2028.4
2022-09-12,2091.75
2022-09-13,2084.22
2022-09-14,2081.77
2022-09-15,2080.53
2022-09-16,2088.47
2022-09-19,2110.32
2022-09-20,2125.85
2022-09-21,2111.34
2022-09-22,2123.16
2022-09-23,2066.61
2022-09-26,1959.18
2022-09-27,1963.04
2022-09-28,1959.54
2022-09-29,2000.53
2022-09-30,2043.09
2022-10-03,2034.14
2022-10-04,2091.3
2022-10-06,2160.71
2022-10-07,2182.09
2022-10-10,2162.2
2022-10-11,2098.44
2022-10-12,2108.29
2022-10-13,2095.51
2022-10-14,2091.05
2022-10-17,2111.08
2022-10-18,2170.42
2022-10-19,2179.19
2022-10-20,2190.52
2022-10-21,2150.05
2022-10-24,2179.3
2022-10-25,2194.48
2022-10-27,2212.49
2022-10-28,2192.9
2022-10-31,2193.3
2022-11-01,2213.94
2022-11-02,2225.2
2022-11-03,2269.41
2022-11-04,2287.61
2022-11-07,2308.35
2022-11-09,2280.16
2022-11-10,2247.67
2022-11-11,2270.99
2022-11-14,2256.45
2022-11-15,2263.3
2022-11-16,2307.44
2022-11-17,2315.44
2022-11-18,2264.91
2022-11-21,2248.8
2022-11-22,2291.13
2022-11-23,2289.45
2022-11-24,2295.14
2022-11-25,2268.8
2022-11-28,2282.34
2022-11-29,2262.97
2022-11-30,2297.55
2022-12-01,2314.46
2022-12-02,2338.59
2022-12-05,2339.03
2022-12-06,2318.85
2022-12-07,2304.11
2022-12-08,2324.36
2022-12-09,2298.5
2022-12-12,2288.73
2022-12-13,2293.79
2022-12-14,2304.52
2022-12-15,2270.01
2022-12-16,2218.95
2022-12-19,2229.82
2022-12-20,2256.45
2022-12-21,2179.61
2022-12-22,2125.23
2022-12-23,2048.49
2022-12-26,2147.02
2022-12-27,2160.24
2022-12-28,2157.83
2022-12-29,2163.29
2022-12-30,2206.48
2023-01-02,2218.4
2023-01-03,2232.52
2023-01-04,2201.91
2023-01-05,2210.59
2023-01-06,2195.83
2023-01-09,2200.69
2023-01-10,2176.87
2023-01-11,2182.73
2023-01-12,2184.62
2023-01-13,2189.79
2023-01-16,2205.48
2023-01-17,2203.22
2023-01-18,2191.72
2023-01-19,2196.66
2023-01-20,2202.28
2023-01-23,2182.07
2023-01-24,2177.09
2023-01-25,2153.03
2023-01-27,2111.39
2023-01-30,2094.45
2023-01-31,2174.38
2023-02-01,2083.88
2023-02-02,2102.14
2023-02-03,2087.3
2023-02-06,2110.02
2023-02-07,2113.32
2023-02-08,2117.2
2023-02-09,2099.1
2023-02-10,2084.98
2023-02-13,2067.13
2023-02-14,2062.71
2023-02-15,2061.96
2023-02-16,2174.09
2023-02-17,2170.15
2023-02-20,2148.32
2023-02-21,2149.38
2023-02-22,2113.05
2023-02-23,2105.1
2023-02-24,2098.73
2023-02-27,2082.08
2023-02-28,2109.31
2023-03-01,2160.74
2023-03-02,2151.25
2023-03-03,2141.13
2023-03-06,2141.16
2023-03-08,2173.17
2023-03-09,2162.93
2023-03-10,2145.85
2023-03-13,2103.8
2023-03-14,2100.2
2023-03-15,2099.61
2023-03-16,2075.89
2023-03-17,2119.83
2023-03-20,2086.52
2023-03-21,2098.75
2023-03-22,2083.34
2023-03-23,2052.45
2023-03-24,2045.85
2023-03-27,2031.97
2023-03-28,2010.72
2023-03-29,2077.18
2023-03-31,2131.67
2023-04-03,2130.61
2023-04-05,2147.62
2023-04-06,2164.07
2023-04-10,2178.84
2023-04-11,2209.56
2023-04-12,2226.05
2023-04-13,2228.08
2023-04-17,2245.75
2023-04-18,2243.21
2023-04-19,2227.23
2023-04-20,2231.32
2023-04-21,2239.68
2023-04-24,2252.12
2023-04-25,2241.29
2023-04-26,2253.52
2023-04-27,2256.29
2023-04-28,2300.32
2023-05-02,2330.39
2023-05-03,2358.38
2023-05-04,2367.98
2023-05-05,2346.48
2023-05-08,2348.37
2023-05-09,2331.97
2023-05-10,2335.45
2023-05-11,2346.42
2023-05-12,2327.09
2023-05-15,2337.73
2023-05-16,2386.22
2023-05-17,2410.62
2023-05-18,2388.99
2023-05-19,2376.48
2023-05-22,2383.88
2023-05-23,2371.96
2023-05-24,2359.94
2023-05-25,2346.58
2023-05-26,2359.96
2023-05-29,2374.49
2023-05-30,2393.93
2023-05-31,2410.06
2023-06-01,2412.7
2023-06-02,2448.6
2023-06-05,2533.68
2023-06-06,2590.85
2023-06-07,2597.27
2023-06-08,2592.81
2023-06-09,2640.75
2023-06-12,2637.27
2023-06-13,2628.16
2023-06-14,2631.54
2023-06-15,2646.42
2023-06-16,2729.79
2023-06-19,2768.1
2023-06-20,2778.34
2023-06-21,2756.85
2023-06-22,2737.3
2023-06-23,2652.16
2023-06-26,2686.22
2023-06-27,2669.54
2023-06-28,2694.77
2023-06-30,2722.13
2023-07-03,2720.56
2023-07-04,2696.21
2023-07-05,2705.86
2023-07-06,2718.29
2023-07-07,2714.18
2023-07-10,2716.67
2023-07-11,2841.17
2023-07-12,2867.41
2023-07-13,2867.61
2023-07-14,2847.98
2023-07-17,2867.97
2023-07-18,2871.47
2023-07-19,2868.0
2023-07-20,2890.9
2023-07-21,2894.43
2023-07-24,2911.77
2023-07-25,2901.49
2023-07-26,2910.33
2023-07-27,2913.72
2023-07-28,2955.3
2023-07-31,2965.9
2023-08-01,2950.49
2023-08-02,2891.31
2023-08-03,2888.28
2023-08-04,2901.77
2023-08-07,2900.19
2023-08-08,2910.61
2023-08-09,2950.41
2023-08-10,2948.35
2023-08-11,2930.6
2023-08-14,2975.94
2023-08-16,3067.1
2023-08-17,3074.31
2023-08-18,3026.19
2023-08-21,3054.84
2023-08-22,3097.97
2023-08-23,3149.81
2023-08-24,3159.26
2023-08-25,3141.98
2023-08-28,3186.55
2023-08-29,3180.75
2023-08-30,3193.25
